Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue,treatment
SRR14704380,RNA-Seq,51,673556592,PRJNA734354,SAMN19490385,274474761,MCF7 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042397,PKM2 WT,GSM5351993,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5351993,Breast cancer cell line,SRP322205,Breast,No treatment
SRR14704381,RNA-Seq,51,715452123,PRJNA734354,SAMN19490384,292054518,MCF7 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042398,PKM2 WT,GSM5351994,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5351994,Breast cancer cell line,SRP322205,Breast,No treatment
SRR14704382,RNA-Seq,51,769919358,PRJNA734354,SAMN19490383,313062524,MCF7 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042399,PKM2 WT,GSM5351995,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5351995,Breast cancer cell line,SRP322205,Breast,No treatment
SRR14704383,RNA-Seq,51,786758436,PRJNA734354,SAMN19490377,320614086,MCF7 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042379,PKM2KO,GSM5351996,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5351996,Breast cancer cell line,SRP322205,Breast,PKM2 knockout
SRR14704384,RNA-Seq,51,571869171,PRJNA734354,SAMN19490382,233135345,MCF7 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042380,PKM2KO,GSM5351997,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5351997,Breast cancer cell line,SRP322205,Breast,PKM2 knockout
SRR14704385,RNA-Seq,51,870147465,PRJNA734354,SAMN19490381,354212640,MCF7 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042381,PKM2KO,GSM5351998,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5351998,Breast cancer cell line,SRP322205,Breast,PKM2 knockout
SRR14704386,RNA-Seq,51,584756871,PRJNA734354,SAMN19490380,238019886,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042382,PKM2 WT,GSM5351999,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5351999,Breast cancer cell line,SRP322205,Breast,No treatment
SRR14704387,RNA-Seq,51,740443602,PRJNA734354,SAMN19490379,301845768,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042383,PKM2 WT,GSM5352000,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352000,Breast cancer cell line,SRP322205,Breast,No treatment
SRR14704388,RNA-Seq,51,893790249,PRJNA734354,SAMN19490378,362097060,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042384,PKM2 WT,GSM5352001,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352001,Breast cancer cell line,SRP322205,Breast,No treatment
SRR14704389,RNA-Seq,51,844989420,PRJNA734354,SAMN19490376,345823854,MDA-MB-231 cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11042385,PKM2KO,GSM5352002,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-07T00:00:00Z,GSM5352002,Breast cancer cell line,SRP322205,Breast,PKM2 knockout
